Time,MSD
0.000000000000000000e+00,3.079403398942304772e-23
1.002004008016032024e-02,1.685876478125587335e-13
2.004008016032064049e-02,3.108204259668941901e-13
3.006012024048096073e-02,4.358978971923788494e-13
4.008016032064128098e-02,5.471212400082979828e-13
5.010020040080159776e-02,6.464610817655403896e-13
6.012024048096192147e-02,7.353485961522100349e-13
7.014028056112224518e-02,8.149436905131949776e-13
8.016032064128256196e-02,8.862401966206349749e-13
9.018036072144287874e-02,9.501116579706386925e-13
1.002004008016031955e-01,1.007334442359393927e-12
1.102204408817635262e-01,1.058601794670118452e-12
1.202404809619238429e-01,1.104533952441220012e-12
1.302605210420841597e-01,1.145686288251041036e-12
1.402805611222444904e-01,1.182556262386163938e-12
1.503006012024047933e-01,1.215589524644067173e-12
1.603206412825651239e-01,1.245185333803198983e-12
1.703406813627254546e-01,1.271701395518794999e-12
1.803607214428857575e-01,1.295458190231043400e-12
1.903807615230460881e-01,1.316742848271947131e-12
2.004008016032063910e-01,1.335812620820844883e-12
2.104208416833667217e-01,1.352897989334290649e-12
2.204408817635270523e-01,1.368205451282596533e-12
2.304609218436873552e-01,1.381920015955443651e-12
2.404809619238476859e-01,1.394207440536146555e-12
2.505010020040079888e-01,1.405216233483161259e-12
2.605210420841683194e-01,1.415079449436949658e-12
2.705410821643286501e-01,1.423916297347614407e-12
2.805611222444889807e-01,1.431833581260149741e-12
2.905811623246493114e-01,1.438926991171191628e-12
3.006012024048095865e-01,1.445282259558935674e-12
3.106212424849699172e-01,1.450976197564324045e-12
3.206412825651302478e-01,1.456077623347023771e-12
3.306613226452905785e-01,1.460648193836510257e-12
3.406813627254509091e-01,1.464743149930983206e-12
3.507014028056111843e-01,1.468411984150745030e-12
3.607214428857715149e-01,1.471699038815448535e-12
3.707414829659318456e-01,1.474644041974913397e-12
3.807615230460921762e-01,1.477282587570880474e-12
3.907815631262525069e-01,1.479646565633051074e-12
4.008016032064127820e-01,1.481764547708844948e-12
4.108216432865731127e-01,1.483662132185270439e-12
4.208416833667334433e-01,1.485362253676534823e-12
4.308617234468937740e-01,1.486885460216727604e-12
4.408817635270541047e-01,1.488250161607779422e-12
4.509018036072144353e-01,1.489472851924290033e-12
4.609218436873747105e-01,1.490568308864460645e-12
4.709418837675350411e-01,1.491549772356535247e-12
4.809619238476953718e-01,1.492429104579420524e-12
4.909819639278557024e-01,1.493216933331532175e-12
5.010020040080159776e-01,1.493922780480653115e-12
5.110220440881763082e-01,1.494555177047275941e-12
5.210420841683366389e-01,1.495121766312352055e-12
5.310621242484969695e-01,1.495629396195628560e-12
5.410821643286573002e-01,1.496084202021081353e-12
5.511022044088176308e-01,1.496491680669758225e-12
5.611222444889779615e-01,1.496856757016268223e-12
5.711422845691382921e-01,1.497183843451873369e-12
5.811623246492986228e-01,1.497476893213600455e-12
5.911823647294588424e-01,1.497739448163913216e-12
6.012024048096191731e-01,1.497974681598424392e-12
6.112224448897795037e-01,1.498185436599029154e-12
6.212424849699398344e-01,1.498374260396004157e-12
6.312625250501001650e-01,1.498543435154381102e-12
6.412825651302604957e-01,1.498695005556684525e-12
6.513026052104208263e-01,1.498830803515403546e-12
6.613226452905811570e-01,1.498952470313881480e-12
6.713426853707414876e-01,1.499061476443218849e-12
