Time,MSD
0.000000000000000000e+00,2.445394027272840437e-19
1.002004008016032024e-02,3.678962233326982949e-13
2.004008016032064049e-02,7.073066849622902041e-13
3.006012024048096073e-02,1.027497249462829841e-12
4.008016032064128098e-02,1.331813810305952838e-12
5.010020040080159776e-02,1.622216287441123972e-12
6.012024048096192147e-02,1.900048119975581665e-12
7.014028056112224518e-02,2.166313700173471246e-12
8.016032064128256196e-02,2.421807597522811751e-12
9.018036072144287874e-02,2.667184333047144622e-12
1.002004008016031955e-01,2.902999946393900082e-12
1.102204408817635262e-01,3.129738534626846621e-12
1.202404809619238429e-01,3.347830051905052600e-12
1.302605210420841597e-01,3.557662670434672603e-12
1.402805611222444904e-01,3.759591577951318466e-12
1.503006012024047933e-01,3.953945351556543353e-12
1.603206412825651239e-01,4.141030639732427733e-12
1.703406813627254546e-01,4.321135642419217465e-12
1.803607214428857575e-01,4.494532727020307657e-12
1.903807615230460881e-01,4.661480418136703014e-12
2.004008016032063910e-01,4.822224930659969650e-12
2.104208416833667217e-01,4.977001368275622905e-12
2.204408817635270523e-01,5.126034675689107278e-12
2.304609218436873552e-01,5.269540408710599197e-12
2.404809619238476859e-01,5.407725368897690890e-12
2.505010020040079888e-01,5.540788136825897880e-12
2.605210420841683194e-01,5.668919528886500606e-12
2.705410821643286501e-01,5.792302995840788844e-12
2.805611222444889807e-01,5.911114976502566602e-12
2.905811623246493114e-01,6.025525216380858134e-12
3.006012024048095865e-01,6.135697058533230854e-12
3.106212424849699172e-01,6.241787711996364233e-12
3.206412825651302478e-01,6.343948501784884294e-12
3.306613226452905785e-01,6.442325103444223029e-12
3.406813627254509091e-01,6.537057764407814471e-12
3.507014028056111843e-01,6.628281513870400955e-12
3.607214428857715149e-01,6.716126362493951141e-12
3.707414829659318456e-01,6.800717492972224136e-12
3.807615230460921762e-01,6.882175442265827610e-12
3.907815631262525069e-01,6.960616276161160188e-12
4.008016032064127820e-01,7.036151756688845636e-12
4.108216432865731127e-01,7.108889502849297663e-12
4.208416833667334433e-01,7.178933145026762549e-12
4.308617234468937740e-01,7.246382473422858874e-12
4.408817635270541047e-01,7.311333580802001681e-12
4.509018036072144353e-01,7.373878999811025891e-12
4.609218436873747105e-01,7.434107835111627941e-12
4.709418837675350411e-01,7.492105890545158110e-12
4.809619238476953718e-01,7.547955791533751580e-12
4.909819639278557024e-01,7.601737102908794580e-12
5.010020040080159776e-01,7.653526442346715728e-12
5.110220440881763082e-01,7.703397589582530886e-12
5.210420841683366389e-01,7.751421591563138039e-12
5.310621242484969695e-01,7.797666863694906056e-12
5.410821643286573002e-01,7.842199287333152500e-12
5.511022044088176308e-01,7.885082303654929320e-12
5.611222444889779615e-01,7.926377004050644776e-12
5.711422845691382921e-01,7.966142217164615147e-12
5.811623246492986228e-01,8.004434592709508651e-12
5.911823647294588424e-01,8.041308682174802101e-12
6.012024048096191731e-01,8.076817016544711451e-12
6.112224448897795037e-01,8.111010181136711489e-12
6.212424849699398344e-01,8.143936887667510892e-12
6.312625250501001650e-01,8.175644043649379415e-12
6.412825651302604957e-01,8.206176819215777060e-12
6.513026052104208263e-01,8.235578711471661418e-12
6.613226452905811570e-01,8.263891606460159369e-12
6.713426853707414876e-01,8.291155838833974145e-12
6.813627254509018183e-01,8.317410249316575483e-12
6.913827655310621489e-01,8.342692240035036297e-12
7.014028056112223686e-01,8.367037827803396902e-12
7.114228456913826992e-01,8.390481695432450608e-12
7.214428857715430299e-01,8.413057241139091561e-12
7.314629258517033605e-01,8.434796626125582016e-12
7.414829659318636912e-01,8.455730820396564630e-12
7.515030060120240218e-01,8.475889646879070112e-12
7.615230460921843525e-01,8.495301823908387561e-12
7.715430861723446831e-01,8.513995006140322249e-12
7.815631262525050138e-01,8.531995823948127981e-12
7.915831663326653445e-01,8.549329921360244393e-12
8.016032064128255641e-01,8.566021992592864418e-12
8.116232464929858947e-01,8.582095817229421672e-12
8.216432865731462254e-01,8.597574294097061582e-12
8.316633266533065560e-01,8.612479473888397466e-12
8.416833667334668867e-01,8.626832590575006148e-12
8.517034068136272174e-01,8.640654091657419734e-12
8.617234468937875480e-01,8.653963667294704465e-12
8.717434869739478787e-01,8.666780278355142419e-12
8.817635270541082093e-01,8.679122183427937195e-12
8.917835671342685400e-01,8.691006964834473734e-12
9.018036072144288706e-01,8.702451553676153440e-12
9.118236472945890903e-01,8.713472253954501017e-12
9.218436873747494209e-01,8.724084765797901696e-12
9.318637274549097516e-01,8.734304207828060939e-12
9.418837675350700822e-01,8.744145138698042754e-12
9.519038076152304129e-01,8.753621577832584400e-12
9.619238476953907435e-01,8.762747025400213948e-12
9.719438877755510742e-01,8.771534481545634116e-12
9.819639278557114048e-01,8.779996464909784047e-12
9.919839679358717355e-01,8.788145030463930859e-12
1.002004008016031955e+00,8.795991786683226784e-12
1.012024048096192397e+00,8.803547912084187041e-12
1.022044088176352616e+00,8.810824171149633990e-12
1.032064128256513058e+00,8.817830929663834054e-12
1.042084168336673278e+00,8.824578169479610358e-12
1.052104208416833719e+00,8.831075502738538733e-12
1.062124248496993939e+00,8.837332185564439694e-12
1.072144288577154159e+00,8.843357131249671383e-12
1.082164328657314600e+00,8.849158922953056367e-12
1.092184368737474820e+00,8.854745825927460936e-12
1.102204408817635262e+00,8.860125799294515640e-12
1.112224448897795481e+00,8.865306507383206459e-12
1.122244488977955923e+00,8.870295330648498946e-12
1.132264529058116143e+00,8.875099376185567983e-12
1.142284569138276584e+00,8.879725487854583803e-12
1.152304609218436804e+00,8.884180256030504072e-12
1.162324649298597246e+00,8.888470026991743483e-12
1.172344689378757465e+00,8.892600911961102752e-12
1.182364729458917685e+00,8.896578795811839718e-12
1.192384769539078126e+00,8.900409345451282180e-12
1.202404809619238346e+00,8.904098017893921646e-12
1.212424849699398788e+00,8.907650068035494225e-12
1.222444889779559007e+00,8.911070556139129962e-12
1.232464929859719449e+00,8.914364355044210869e-12
1.242484969939879669e+00,8.917536157108245111e-12
1.252505010020040110e+00,8.920590480891609191e-12
1.262525050100200330e+00,8.923531677594709478e-12
1.272545090180360772e+00,8.926363937256718623e-12
1.282565130260520991e+00,8.929091294724707964e-12
1.292585170340681211e+00,8.931717635401727212e-12
1.302605210420841653e+00,8.934246700781940070e-12
1.312625250501001872e+00,8.936682093780785458e-12
1.322645290581162314e+00,8.939027283867694610e-12
1.332665330661322534e+00,8.941285612008716566e-12
1.342685370741482975e+00,8.943460295426063719e-12
1.352705410821643195e+00,8.945554432181383881e-12
1.362725450901803637e+00,8.947571005589264834e-12
1.372745490981963856e+00,8.949512888467277010e-12
1.382765531062124298e+00,8.951382847228599819e-12
1.392785571142284518e+00,8.953183545823060674e-12
1.402805611222444737e+00,8.954917549532215403e-12
1.412825651302605179e+00,8.956587328623845121e-12
1.422845691382765398e+00,8.958195261871118601e-12
1.432865731462925840e+00,8.959743639941396141e-12
1.442885771543086060e+00,8.961234668659521713e-12
