Time,MSD
2.062062062062062218e+00,8.817120677010780227e-12
2.072072072072072224e+00,8.820536014893295658e-12
2.082082082082082231e+00,8.823887570098463016e-12
2.092092092092092237e+00,8.827176533790982694e-12
2.102102102102102243e+00,8.830404074890127096e-12
2.112112112112112250e+00,8.833571340485166247e-12
2.122122122122122256e+00,8.836679456243067672e-12
2.132132132132132263e+00,8.839729526808556159e-12
2.142142142142142269e+00,8.842722636196715973e-12
2.152152152152152276e+00,8.845659848178253455e-12
2.162162162162162282e+00,8.848542206657570264e-12
2.172172172172172289e+00,8.851370736043776500e-12
2.182182182182182295e+00,8.854146441614766492e-12
2.192192192192192302e+00,8.856870309874504282e-12
2.202202202202202308e+00,8.859543308903635110e-12
2.212212212212212314e+00,8.862166388703544082e-12
2.222222222222222321e+00,8.864740481533996110e-12
2.232232232232232327e+00,8.867266502244466986e-12
2.242242242242242334e+00,8.869745348599283518e-12
2.252252252252252340e+00,8.872177901596698765e-12
2.262262262262262347e+00,8.874565025782000895e-12
2.272272272272272353e+00,8.876907569554783321e-12
2.282282282282282360e+00,8.879206365470464960e-12
2.292292292292292366e+00,8.881462230536193092e-12
2.302302302302302373e+00,8.883675966501206373e-12
2.312312312312312379e+00,8.885848360141787249e-12
2.322322322322322385e+00,8.887980183540879698e-12
2.332332332332332392e+00,8.890072194362506400e-12
2.342342342342342398e+00,8.892125136121032179e-12
2.352352352352352405e+00,8.894139738445422361e-12
2.362362362362362411e+00,8.896116717338555818e-12
2.372372372372372418e+00,8.898056775431697715e-12
2.382382382382382424e+00,8.899960602234219194e-12
2.392392392392392431e+00,8.901828874378652865e-12
2.402402402402402437e+00,8.903662255861169717e-12
2.412412412412412444e+00,8.905461398277574394e-12
2.422422422422422450e+00,8.907226941054881841e-12
2.432432432432432456e+00,8.908959511678575480e-12
2.442442442442442463e+00,8.910659725915616401e-12
2.452452452452452469e+00,8.912328188033297251e-12
2.462462462462462476e+00,8.913965491013997389e-12
2.472472472472472482e+00,8.915572216765932998e-12
2.482482482482482489e+00,8.917148936329976468e-12
2.492492492492492495e+00,8.918696210082599989e-12
2.502502502502502502e+00,8.920214587935045139e-12
2.512512512512512508e+00,8.921704609528757221e-12
