Time,MSD
0.000000000000000000e+00,2.753358094853553252e-19
1.001001001001000992e-02,2.775642448236132942e-13
2.002002002002001985e-02,5.359797488428827302e-13
3.003003003003002977e-02,7.817503823836553654e-13
4.004004004004003969e-02,1.017202183740366169e-12
5.005005005005004615e-02,1.243682827286124278e-12
6.006006006006005954e-02,1.462104907885923948e-12
7.007007007007007293e-02,1.673142742168355591e-12
8.008008008008007939e-02,1.877324798179228722e-12
9.009009009009008584e-02,2.075083761243994731e-12
1.001001001001000923e-01,2.266786039653540503e-12
1.101101101101101126e-01,2.452750114466276664e-12
1.201201201201201191e-01,2.633258408064877197e-12
1.301301301301301394e-01,2.808565220373319620e-12
1.401401401401401459e-01,2.978902204975479487e-12
1.501501501501501523e-01,3.144482267256033704e-12
1.601601601601601588e-01,3.305502426718331395e-12
1.701701701701701652e-01,3.462145983395882656e-12
1.801801801801801717e-01,3.614584205267239899e-12
1.901901901901901781e-01,3.762977677488699754e-12
2.002002002002001846e-01,3.907477406504457542e-12
2.102102102102102188e-01,4.048225741722860799e-12
2.202202202202202252e-01,4.185357157873404581e-12
2.302302302302302317e-01,4.318998928365283206e-12
2.402402402402402382e-01,4.449271711477104600e-12
2.502502502502502724e-01,4.576290065475585674e-12
2.602602602602602788e-01,4.700162904818840114e-12
2.702702702702702853e-01,4.820993906832526671e-12
2.802802802802802917e-01,4.938881876262204435e-12
2.902902902902902982e-01,5.053921073648909271e-12
3.003003003003003046e-01,5.166201512382658295e-12
3.103103103103103111e-01,5.275809228451333831e-12
3.203203203203203175e-01,5.382826526247706644e-12
3.303303303303303240e-01,5.487332203276323327e-12
3.403403403403403304e-01,5.589401756180592354e-12
3.503503503503503369e-01,5.689107570165090942e-12
3.603603603603603434e-01,5.786519093602028321e-12
3.703703703703703498e-01,5.881702999371446117e-12
3.803803803803803563e-01,5.974723334283125010e-12
3.903903903903903627e-01,6.065641657757079393e-12
4.004004004004003692e-01,6.154517170793737610e-12
4.104104104104104311e-01,6.241406836140127140e-12
4.204204204204204376e-01,6.326365490451081595e-12
4.304304304304304440e-01,6.409445949152075655e-12
4.404404404404404505e-01,6.490699104630271600e-12
4.504504504504504570e-01,6.570174018311193772e-12
4.604604604604604634e-01,6.647918007118105929e-12
4.704704704704704699e-01,6.723976724758805280e-12
4.804804804804804763e-01,6.798394238238721660e-12
4.904904904904904828e-01,6.871213099959135676e-12
5.005005005005005447e-01,6.942474415724172035e-12
5.105105105105105512e-01,7.012217908949347203e-12
5.205205205205205576e-01,7.080481981337176142e-12
5.305305305305305641e-01,7.147303770261286852e-12
5.405405405405405705e-01,7.212719203079170469e-12
5.505505505505505770e-01,7.276763048574768136e-12
5.605605605605605835e-01,7.339468965715229063e-12
5.705705705705705899e-01,7.400869549891120222e-12
5.805805805805805964e-01,7.460996376795902958e-12
5.905905905905906028e-01,7.519880044088412077e-12
6.006006006006006093e-01,7.577550210971163715e-12
6.106106106106106157e-01,7.634035635807508454e-12
6.206206206206206222e-01,7.689364211891766050e-12
6.306306306306306286e-01,7.743563001478439023e-12
6.406406406406406351e-01,7.796658268169189994e-12
6.506506506506506415e-01,7.848675507749692250e-12
6.606606606606606480e-01,7.899639477562255917e-12
6.706706706706706544e-01,7.949574224494601974e-12
6.806806806806806609e-01,7.998503111659937984e-12
6.906906906906906674e-01,8.046448843838876930e-12
7.007007007007006738e-01,8.093433491749202342e-12
7.107107107107106803e-01,8.139478515205623286e-12
7.207207207207206867e-01,8.184604785227811213e-12
7.307307307307306932e-01,8.228832605151572684e-12
7.407407407407406996e-01,8.272181730794832547e-12
7.507507507507507061e-01,8.314671389727034100e-12
7.607607607607607125e-01,8.356320299687843779e-12
7.707707707707707190e-01,8.397146686198382158e-12
7.807807807807807254e-01,8.437168299405787772e-12
7.907907907907907319e-01,8.476402430199677825e-12
8.008008008008007383e-01,8.514865925636850026e-12
8.108108108108108558e-01,8.552575203708679575e-12
8.208208208208208623e-01,8.589546267483663581e-12
8.308308308308308687e-01,8.625794718655925412e-12
8.408408408408408752e-01,8.661335770528728829e-12
8.508508508508508816e-01,8.696184260460567061e-12
8.608608608608608881e-01,8.730354661799862010e-12
8.708708708708708945e-01,8.763861095332985600e-12
8.808808808808809010e-01,8.796717340268969511e-12
8.908908908908909074e-01,8.828936844783046537e-12
9.009009009009009139e-01,8.860532736140032653e-12
9.109109109109109204e-01,8.891517830417406991e-12
9.209209209209209268e-01,8.921904641847016308e-12
9.309309309309309333e-01,8.951705391793231962e-12
9.409409409409409397e-01,8.980932017384537598e-12
9.509509509509509462e-01,9.009596179814663031e-12
9.609609609609609526e-01,9.037709272328523533e-12
9.709709709709709591e-01,9.065282427907411119e-12
9.809809809809809655e-01,9.092326526667278557e-12
9.909909909909909720e-01,9.118852202983073118e-12
1.001001001001001089e+00,9.144869852351592392e-12
1.011011011011011096e+00,9.170389638004578414e-12
1.021021021021021102e+00,9.195421497283275192e-12
1.031031031031031109e+00,9.219975147785012355e-12
1.041041041041041115e+00,9.244060093291975339e-12
1.051051051051051122e+00,9.267685629491669852e-12
1.061061061061061128e+00,9.290860849498255526e-12
1.071071071071071135e+00,9.313594649183379227e-12
1.081081081081081141e+00,9.335895732324745908e-12
1.091091091091091148e+00,9.357772615580239972e-12
1.101101101101101154e+00,9.379233633295077329e-12
1.111111111111111160e+00,9.400286942149038552e-12
1.121121121121121167e+00,9.420940525650536296e-12
1.131131131131131173e+00,9.441202198483909867e-12
1.141141141141141180e+00,9.461079610716057064e-12
1.151151151151151186e+00,9.480580251868227522e-12
1.161161161161161193e+00,9.499711454858467288e-12
1.171171171171171199e+00,9.518480399820007314e-12
1.181181181181181206e+00,9.536894117800589641e-12
1.191191191191191212e+00,9.554959494347537646e-12
1.201201201201201219e+00,9.572683272983063290e-12
1.211211211211211225e+00,9.590072058574209021e-12
1.221221221221221231e+00,9.607132320601510117e-12
1.231231231231231238e+00,9.623870396330338921e-12
1.241241241241241244e+00,9.640292493888685571e-12
1.251251251251251251e+00,9.656404695254937605e-12
1.261261261261261257e+00,9.672212959159112558e-12
1.271271271271271264e+00,9.687723123900763429e-12
1.281281281281281270e+00,9.702940910086696094e-12
1.291291291291291277e+00,9.717871923291453569e-12
1.301301301301301283e+00,9.732521656643429960e-12
1.311311311311311290e+00,9.746895493339276576e-12
1.321321321321321296e+00,9.760998709089235222e-12
1.331331331331331302e+00,9.774836474495844689e-12
1.341341341341341309e+00,9.788413857368379183e-12
1.351351351351351315e+00,9.801735824975314443e-12
1.361361361361361322e+00,9.814807246236931521e-12
1.371371371371371328e+00,9.827632893860155228e-12
1.381381381381381335e+00,9.840217446417622526e-12
1.391391391391391341e+00,9.852565490372817768e-12
1.401401401401401348e+00,9.864681522053134332e-12
1.411411411411411354e+00,9.876569949572592952e-12
1.421421421421421361e+00,9.888235094705840394e-12
1.431431431431431367e+00,9.899681194715082852e-12
1.441441441441441373e+00,9.910912404131409707e-12
